Year,Quarter,Month,Day,EPC BASELINE,Year,Quarter,Month,Day,Year,Quarter,Month,Day,Year,Quarter,Month,Day,Year,Quarter,Month,Day
2022,Qtr 4,December,21,2022-12-21 00:00:00,2022,Qtr 4,December,21,,,,,2021,Qtr 4,October,10,2021,Qtr 4,October,10
2022,Qtr 4,December,21,2022-12-21 00:00:00,2022,Qtr 4,December,21,,,,,2021,Qtr 4,November,16,2021,Qtr 4,November,16
2022,Qtr 4,December,21,2022-12-21 00:00:00,2022,Qtr 4,December,21,,,,,2022,Qtr 3,August,11,2022,Qtr 3,August,11
2022,Qtr 4,December,21,2022-12-21 00:00:00,2022,Qtr 4,December,21,,,,,2022,Qtr 4,October,20,2022,Qtr 4,October,20
2022,Qtr 4,December,21,2022-12-21 00:00:00,2022,Qtr 4,December,28,,,,,2022,Qtr 4,November,10,2022,Qtr 4,December,22
2022,Qtr 4,December,24,2022-12-24 00:00:00,2021,Qtr 4,October,6,,,,,2021,Qtr 4,October,10,2021,Qtr 4,October,10
2022,Qtr 4,December,24,2022-12-24 00:00:00,2021,Qtr 4,October,6,2023,Qtr 1,March,23,2023,Qtr 2,April,1,,,,
2022,Qtr 4,December,27,2022-12-27 00:00:00,2023,Qtr 1,January,2,2023,Qtr 1,February,28,2023,Qtr 1,March,2,2023,Qtr 1,March,16
2022,Qtr 4,December,28,2022-12-28 00:00:00,2023,Qtr 1,January,2,2022,Qtr 3,September,10,2022,Qtr 3,September,5,2022,Qtr 3,September,20
2022,Qtr 4,December,29,2022-12-29 00:00:00,2021,Qtr 4,October,6,,,,,2021,Qtr 4,October,10,2021,Qtr 4,October,10
2022,Qtr 4,December,29,2022-12-29 00:00:00,2023,Qtr 1,January,1,2023,Qtr 1,March,31,2023,Qtr 1,March,30,,,,
2022,Qtr 4,December,29,2022-12-29 00:00:00,2023,Qtr 1,January,1,2023,Qtr 2,April,20,2023,Qtr 2,April,29,,,,
2022,Qtr 4,December,29,2022-12-29 00:00:00,2023,Qtr 1,January,3,2023,Qtr 2,April,20,2023,Qtr 2,April,29,,,,
2022,Qtr 4,December,29,2022-12-29 00:00:00,2023,Qtr 1,January,7,2023,Qtr 1,February,15,2023,Qtr 1,February,9,2023,Qtr 1,March,16
2022,Qtr 4,December,29,2022-12-29 00:00:00,2023,Qtr 1,January,11,2023,Qtr 1,March,10,2023,Qtr 1,March,2,2023,Qtr 1,March,2
2023,Qtr 1,January,2,2023-01-02 00:00:00,2022,Qtr 4,November,10,,,,,2022,Qtr 1,March,10,2022,Qtr 1,March,10
2023,Qtr 1,January,2,2023-01-02 00:00:00,2023,Qtr 1,January,3,,,,,2022,Qtr 3,August,4,2022,Qtr 3,August,4
2023,Qtr 1,January,3,2023-01-03 00:00:00,2022,Qtr 4,December,4,,,,,2022,Qtr 1,March,10,2022,Qtr 1,March,10
2023,Qtr 1,January,4,2023-01-04 00:00:00,2023,Qtr 1,January,7,2023,Qtr 1,March,31,2023,Qtr 1,March,30,,,,
2023,Qtr 1,January,4,2023-01-04 00:00:00,2023,Qtr 1,January,9,2023,Qtr 2,April,20,2023,Qtr 2,April,27,,,,
2023,Qtr 1,January,4,2023-01-04 00:00:00,2023,Qtr 1,February,1,2023,Qtr 2,April,20,2023,Qtr 2,April,24,,,,
2023,Qtr 1,January,5,2023-01-05 00:00:00,2021,Qtr 4,October,6,,,,,2021,Qtr 4,October,10,2021,Qtr 4,October,10
2023,Qtr 1,January,5,2023-01-05 00:00:00,2022,Qtr 1,March,5,,,,,2022,Qtr 1,March,10,2022,Qtr 1,March,10
2023,Qtr 1,January,7,2023-01-07 00:00:00,2023,Qtr 1,January,9,2023,Qtr 2,April,20,2023,Qtr 2,April,27,,,,
2023,Qtr 1,January,7,2023-01-07 00:00:00,2023,Qtr 1,January,15,2023,Qtr 2,April,20,2023,Qtr 2,April,27,,,,
2023,Qtr 1,January,7,2023-01-07 00:00:00,2023,Qtr 1,January,19,2023,Qtr 2,May,20,,,,,,,,
2023,Qtr 1,January,8,2023-01-08 00:00:00,2022,Qtr 4,December,10,2022,Qtr 4,December,31,2023,Qtr 1,January,25,2023,Qtr 1,February,1
2023,Qtr 1,January,8,2023-01-08 00:00:00,2022,Qtr 4,December,12,2023,Qtr 1,January,20,2023,Qtr 1,March,12,,,,
2023,Qtr 1,January,9,2023-01-09 00:00:00,2022,Qtr 4,December,11,2022,Qtr 3,August,30,2022,Qtr 3,August,6,2022,Qtr 3,August,10
2023,Qtr 1,January,10,2023-01-10 00:00:00,2023,Qtr 1,January,14,2023,Qtr 1,March,31,2023,Qtr 1,March,25,,,,
2023,Qtr 1,January,10,2023-01-10 00:00:00,2023,Qtr 1,January,23,,,,,2022,Qtr 3,August,25,2022,Qtr 3,August,25
2023,Qtr 1,January,12,2023-01-12 00:00:00,2023,Qtr 1,January,21,2022,Qtr 3,September,30,2022,Qtr 3,September,24,2022,Qtr 3,September,28
2023,Qtr 1,January,16,2023-01-16 00:00:00,2023,Qtr 1,February,13,,,,,2023,Qtr 1,February,21,2023,Qtr 1,February,21
2023,Qtr 1,January,18,2023-01-18 00:00:00,2023,Qtr 1,January,26,2023,Qtr 2,May,20,,,,,,,,
2023,Qtr 1,January,26,2023-01-26 00:00:00,2022,Qtr 4,December,4,,,,,2022,Qtr 1,March,10,2022,Qtr 1,March,10
2023,Qtr 1,February,1,2023-02-01 00:00:00,2023,Qtr 1,February,6,,,,,2022,Qtr 4,October,20,2022,Qtr 4,October,20
2023,Qtr 1,February,7,2023-02-07 00:00:00,2023,Qtr 1,February,20,,,,,2022,Qtr 3,August,25,2022,Qtr 3,August,25
2023,Qtr 1,February,13,2023-02-13 00:00:00,2023,Qtr 1,February,26,,,,,,,,,,,,
2023,Qtr 3,July,13,2023-07-13 00:00:00,2023,Qtr 4,October,23,,,,,,,,,,,,
2023,Qtr 3,July,13,2023-07-13 00:00:00,2023,Qtr 4,November,14,,,,,,,,,,,,
